human
section,AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
0.5,0.46534653465346537,0.4820512820512821
arithmetic mean,0.5,0.46534653465346537,0.4820512820512821
harmonic mean,0.5,0.4653465346534653,0.4820512820512821

,AUC (source),pAUC,precision (source),recall (source),F1 score (source)
"arithmetic mean over all machine types, sections, and domains",0.5,0.46534653465346537,0.4820512820512821
"harmonic mean over all machine types, sections, and domains",0.5,0.4653465346534653,0.4820512820512821

Decision Threshold:,1086.7568258541964
